Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Consumo de bebidas alcohólicas;Total
Ambos sexos;Total Nacional;;TOTAL;39.974,1
Ambos sexos;Total Nacional;;Sí ha consumido;26.139,8
Ambos sexos;Total Nacional;;No ha consumido;13.774,4
Ambos sexos;Total Nacional;;No consta;59,9
Ambos sexos;Total Nacional;01 Andalucía;TOTAL;7.096,4
Ambos sexos;Total Nacional;01 Andalucía;Sí ha consumido;3.775,2
Ambos sexos;Total Nacional;01 Andalucía;No ha consumido;3.305,9
Ambos sexos;Total Nacional;01 Andalucía;No consta;15,3
Ambos sexos;Total Nacional;02 Aragón;TOTAL;1.121,4
Ambos sexos;Total Nacional;02 Aragón;Sí ha consumido;667,3
Ambos sexos;Total Nacional;02 Aragón;No ha consumido;454,1
Ambos sexos;Total Nacional;02 Aragón;No consta;0,0
Ambos sexos;Total Nacional;03 Asturias, Principado de;TOTAL;896,9
Ambos sexos;Total Nacional;03 Asturias, Principado de;Sí ha consumido;654,1
Ambos sexos;Total Nacional;03 Asturias, Principado de;No ha consumido;240,0
Ambos sexos;Total Nacional;03 Asturias, Principado de;No consta;2,7
Ambos sexos;Total Nacional;04 Balears, Illes;TOTAL;1.030,2
Ambos sexos;Total Nacional;04 Balears, Illes;Sí ha consumido;632,2
Ambos sexos;Total Nacional;04 Balears, Illes;No ha consumido;390,5
Ambos sexos;Total Nacional;04 Balears, Illes;No consta;7,5
Ambos sexos;Total Nacional;05 Canarias;TOTAL;1.936,1
Ambos sexos;Total Nacional;05 Canarias;Sí ha consumido;1.079,1
Ambos sexos;Total Nacional;05 Canarias;No ha consumido;857,0
Ambos sexos;Total Nacional;05 Canarias;No consta;0,0
Ambos sexos;Total Nacional;06 Cantabria;TOTAL;500,1
Ambos sexos;Total Nacional;06 Cantabria;Sí ha consumido;364,4
Ambos sexos;Total Nacional;06 Cantabria;No ha consumido;132,8
Ambos sexos;Total Nacional;06 Cantabria;No consta;2,9
Ambos sexos;Total Nacional;07 Castilla y León;TOTAL;2.063,7
Ambos sexos;Total Nacional;07 Castilla y León;Sí ha consumido;1.473,9
Ambos sexos;Total Nacional;07 Castilla y León;No ha consumido;581,2
Ambos sexos;Total Nacional;07 Castilla y León;No consta;8,6
Ambos sexos;Total Nacional;08 Castilla - La Mancha;TOTAL;1.709,7
Ambos sexos;Total Nacional;08 Castilla - La Mancha;Sí ha consumido;1.048,5
Ambos sexos;Total Nacional;08 Castilla - La Mancha;No ha consumido;661,1
Ambos sexos;Total Nacional;08 Castilla - La Mancha;No consta;0,0
Ambos sexos;Total Nacional;09 Cataluña;TOTAL;6.397,6
Ambos sexos;Total Nacional;09 Cataluña;Sí ha consumido;4.458,7
Ambos sexos;Total Nacional;09 Cataluña;No ha consumido;1.933,1
Ambos sexos;Total Nacional;09 Cataluña;No consta;5,8
Ambos sexos;Total Nacional;10 Comunitat Valenciana;TOTAL;4.255,3
Ambos sexos;Total Nacional;10 Comunitat Valenciana;Sí ha consumido;3.058,5
Ambos sexos;Total Nacional;10 Comunitat Valenciana;No ha consumido;1.196,8
Ambos sexos;Total Nacional;10 Comunitat Valenciana;No consta;0,0
Ambos sexos;Total Nacional;11 Extremadura;TOTAL;904,8
Ambos sexos;Total Nacional;11 Extremadura;Sí ha consumido;574,1
Ambos sexos;Total Nacional;11 Extremadura;No ha consumido;330,7
Ambos sexos;Total Nacional;11 Extremadura;No consta;0,0
Ambos sexos;Total Nacional;12 Galicia;TOTAL;2.360,6
Ambos sexos;Total Nacional;12 Galicia;Sí ha consumido;1.477,1
Ambos sexos;Total Nacional;12 Galicia;No ha consumido;874,6
Ambos sexos;Total Nacional;12 Galicia;No consta;8,9
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;TOTAL;5.649,9
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;Sí ha consumido;3.964,9
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;No ha consumido;1.681,9
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;No consta;3,2
Ambos sexos;Total Nacional;14 Murcia, Región de;TOTAL;1.242,4
Ambos sexos;Total Nacional;14 Murcia, Región de;Sí ha consumido;796,0
Ambos sexos;Total Nacional;14 Murcia, Región de;No ha consumido;446,4
Ambos sexos;Total Nacional;14 Murcia, Región de;No consta;0,0
